#  CREATED =
#  CONTACT = R. Diaz
#  DESCRIPT= Initial delivery of a M2 Dwarf (Gleise 411) source model (Angst vs FLAM)
#  MAPKEY  = M2 Dwarf
#  FILE_TYP= M2 Dwarf (Gleise 411) Source Model Spectrum (Angstroms vs erg/s/cm^2/A)
#  SYSTEMS = PYETC
#  REASON  = Initial delivery to ETC database
#  HISTORY
#  HISTORY  This file was part of the ETC 18.0 or earlier software. This file is
#  HISTORY  being delivered to CDBS for the purposes of quality control and to
#  HISTORY  address the future needs of ETC 19.0 (PYETC). The origin of the
#  HISOTRY  data is unknown; however, this file has been validated and found to
#  HISTORY  be representative of the spectra for a M2 Dwarf.
#
# wl/angst        synflam
#
      6827.14 4.9685500000E-15
      6830.73 4.9818600000E-15
      6834.33 5.0136700000E-15
      6837.92 4.9839500000E-15
      6841.51 4.9527800000E-15
      6845.11 4.8615300000E-15
       6848.7 4.7684200000E-15
      6852.29 4.7351300000E-15
      6855.89 4.6603400000E-15
      6859.48 4.5147600000E-15
      6863.07 4.3485800000E-15
      6866.67 4.1534600000E-15
      6870.26 4.0735700000E-15
      6873.85 4.1823400000E-15
      6877.45 4.3180500000E-15
      6881.04 4.4757100000E-15
      6884.63 4.5961200000E-15
      6888.23 4.6609200000E-15
      6891.82 4.7162000000E-15
      6895.41 4.7736900000E-15
      6899.01 4.8722300000E-15
       6902.6 5.0027900000E-15
      6906.19 5.1433700000E-15
      6909.79 5.2257700000E-15
      6913.38 5.3085700000E-15
      6916.97 5.3941600000E-15
      6920.57 5.5553400000E-15
      6924.16 5.7184900000E-15
      6927.75 5.9306900000E-15
      6931.35 6.0626600000E-15
      6934.94 6.2229700000E-15
      6938.53 6.3012400000E-15
      6942.13 6.3713300000E-15
      6945.72 6.4734300000E-15
      6949.31 6.5585800000E-15
      6952.91 6.5877800000E-15
       6956.5 6.6062700000E-15
      6960.09 6.6645700000E-15
      6963.69 6.7351700000E-15
      6967.28 6.7811600000E-15
      6970.87 6.8123200000E-15
      6974.47 6.8440600000E-15
      6978.06 6.8976300000E-15
      6981.65 6.8843800000E-15
      6985.25 6.8686500000E-15
      6988.84 6.9035700000E-15
      6992.43 6.9012900000E-15
      6996.03 6.9982000000E-15
      6999.62 7.0270600000E-15
      7003.21 7.1122900000E-15
      7006.81 7.1734700000E-15
       7010.4 7.2393000000E-15
      7013.99 7.3124400000E-15
      7017.59 7.3477800000E-15
      7021.18 7.4979800000E-15
      7024.77 7.6407600000E-15
      7028.37 7.7961700000E-15
      7031.96 7.9804600000E-15
      7035.55 8.2149500000E-15
      7039.15 8.3472900000E-15
      7042.74 8.3609500000E-15
      7046.33 8.1787400000E-15
      7049.93 7.7515500000E-15
      7053.52 7.3199600000E-15
      7057.11 6.9363100000E-15
      7060.71 6.8182500000E-15
       7064.3 6.8710000000E-15
      7067.89 7.0291500000E-15
      7071.49 7.1153500000E-15
      7075.08 7.1194400000E-15
      7078.68 6.9866700000E-15
      7082.27 6.7074600000E-15
      7085.86 6.3256500000E-15
      7089.46 6.0901500000E-15
      7093.05 5.9877000000E-15
      7096.64 6.0516600000E-15
      7100.24 6.1828300000E-15
      7103.83 6.3431400000E-15
      7107.42 6.5106200000E-15
      7111.02 6.6268200000E-15
      7114.61 6.6505400000E-15
       7118.2 6.3884500000E-15
       7121.8 5.9354800000E-15
      7125.39 5.5711500000E-15
      7128.98 5.3032300000E-15
      7132.58 5.1641900000E-15
      7136.17 5.2307500000E-15
      7139.76 5.3255300000E-15
      7143.36 5.4242600000E-15
      7146.95 5.5774400000E-15
      7150.54 5.7257200000E-15
      7154.14 5.8081300000E-15
      7157.73 5.8340900000E-15
      7161.32 5.8267600000E-15
      7164.92 5.8013800000E-15
      7168.51 5.7368400000E-15
       7172.1 5.7085900000E-15
       7175.7 5.7443500000E-15
      7179.29 5.7276800000E-15
      7182.88 5.7218800000E-15
      7186.48 5.7701500000E-15
      7190.07 5.6323400000E-15
      7193.66 5.5345300000E-15
      7197.26 5.5938000000E-15
      7200.85 5.5500900000E-15
      7204.44 5.6210000000E-15
      7208.04 5.8738000000E-15
      7211.63 6.1898000000E-15
      7215.22 6.4646500000E-15
      7218.82 6.6666200000E-15
      7222.41 6.7547200000E-15
        7226. 6.7485200000E-15
       7229.6 6.6383100000E-15
      7233.19 6.5706200000E-15
      7236.78 6.5551100000E-15
      7240.38 6.5380700000E-15
      7243.97 6.6658100000E-15
      7247.56 6.8255900000E-15
      7251.16 6.9161200000E-15
      7254.75 7.0565100000E-15
      7258.34 7.1449400000E-15
      7261.94 7.2378500000E-15
      7265.53 7.3312300000E-15
      7269.12 7.3321400000E-15
      7272.72 7.3393800000E-15
      7276.31 7.3796800000E-15
       7279.9 7.4905600000E-15
       7283.5 7.6249100000E-15
      7287.09 7.7171700000E-15
      7290.68 7.7540500000E-15
      7294.28 7.8187600000E-15
      7297.87 7.8821400000E-15
      7301.46 7.8978300000E-15
      7305.06 7.9579100000E-15
      7308.65 8.0606700000E-15
      7312.24 8.1665600000E-15
      7315.84 8.1818800000E-15
      7319.43 8.1797600000E-15
      7323.02 8.2929600000E-15
      7326.62 8.4117600000E-15
      7330.21 8.5842700000E-15
       7333.8 8.7321300000E-15
       7337.4 8.7341400000E-15
      7340.99 8.7609400000E-15
      7344.59 8.7537500000E-15
      7348.18 8.6945600000E-15
      7351.77 8.6818700000E-15
      7355.37 8.6575600000E-15
      7358.96 8.6797300000E-15
      7362.55 8.8013400000E-15
      7366.15 8.9329300000E-15
      7369.74 8.9963500000E-15
      7373.33 9.0992400000E-15
      7376.93 9.1167900000E-15
      7380.52 9.1566700000E-15
      7384.11 9.1670500000E-15
      7387.71 9.1182500000E-15
       7391.3 9.1025600000E-15
      7394.89 9.0969700000E-15
      7398.49 9.1460900000E-15
      7402.08 9.2275600000E-15
      7405.67 9.2846700000E-15
      7409.27 9.3383900000E-15
      7412.86 9.3225800000E-15
      7416.45 9.2758400000E-15
      7420.05 9.2941400000E-15
      7423.64 9.3171100000E-15
      7427.23 9.3656400000E-15
      7430.83 9.3762400000E-15
      7434.42 9.4119600000E-15
      7438.01 9.4470400000E-15
      7441.61 9.3887500000E-15
       7445.2 9.3253100000E-15
      7448.79 9.3673500000E-15
      7452.39 9.4458000000E-15
      7455.98 9.4384100000E-15
      7459.57 9.4138500000E-15
      7463.17 9.4383700000E-15
      7466.76 9.4835800000E-15
      7470.35 9.5055300000E-15
      7473.95 9.5603300000E-15
      7477.54 9.5927800000E-15
      7481.13 9.5238700000E-15
      7484.73 9.4702100000E-15
      7488.32 9.4617300000E-15
      7491.91 9.3925100000E-15
      7495.51 9.4901700000E-15
       7499.1 9.5222500000E-15
      7502.69 9.4475900000E-15
      7506.29 9.5109100000E-15
      7509.88 9.4621900000E-15
      7513.47 9.5144100000E-15
      7517.07 9.5825700000E-15
      7520.66 9.5441000000E-15
      7524.25 9.5296500000E-15
      7527.85 9.4793500000E-15
      7531.44 9.5765800000E-15
      7535.03 9.6760700000E-15
      7538.63 9.6515700000E-15
      7542.22 9.6456600000E-15
      7545.81 9.6364000000E-15
      7549.41 9.6283400000E-15
        7553. 9.6475300000E-15
      7556.59 9.6343500000E-15
      7560.19 9.5396600000E-15
      7563.78 9.5683600000E-15
      7567.37 9.5986900000E-15
      7570.97 9.6382400000E-15
      7574.56 9.6540900000E-15
      7578.15 9.5851200000E-15
      7581.75 9.4126100000E-15
      7585.34 9.0535500000E-15
      7588.93 8.2497300000E-15
      7592.53 7.0299400000E-15
      7596.12 5.6301200000E-15
      7599.71 4.3985300000E-15
      7603.31 3.6035100000E-15
       7606.9 3.6467900000E-15
       7610.5 4.4070300000E-15
      7614.09 5.3860000000E-15
      7617.68 6.0061700000E-15
      7621.28 5.9978100000E-15
      7624.87 5.6598800000E-15
      7628.46 5.2902900000E-15
      7632.06 5.1318900000E-15
      7635.65 5.3150800000E-15
      7639.24 5.6152600000E-15
      7642.84 5.9354600000E-15
      7646.43 6.2616000000E-15
      7650.02 6.6138000000E-15
      7653.62 6.7321200000E-15
      7657.21 6.5891700000E-15
       7660.8 6.6033800000E-15
       7664.4 6.6887000000E-15
      7667.99 6.9804500000E-15
      7671.58 7.3451400000E-15
      7675.18 7.6413300000E-15
      7678.77 7.7709500000E-15
      7682.36 7.8912600000E-15
      7685.96 7.9144000000E-15
      7689.55 7.8168700000E-15
      7693.14 7.6802500000E-15
      7696.74 7.6190900000E-15
      7700.33 7.7064800000E-15
      7703.92 7.8151400000E-15
      7707.52 7.9565200000E-15
      7711.11 8.0253300000E-15
       7714.7 8.1114100000E-15
       7718.3 8.2497300000E-15
      7721.89 8.3641000000E-15
      7725.48 8.4730400000E-15
      7729.08 8.5165000000E-15
      7732.67 8.5318000000E-15
      7736.26 8.5049400000E-15
      7739.86 8.3587400000E-15
      7743.45 8.2129500000E-15
      7747.04 8.1106900000E-15
      7750.64 8.0616400000E-15
      7754.23 8.0876000000E-15
      7757.82 8.1888000000E-15
      7761.42 8.1775500000E-15
      7765.01 8.2162500000E-15
       7768.6 8.2672300000E-15
       7772.2 8.3279200000E-15
      7775.79 8.2416100000E-15
      7779.38 8.2287000000E-15
      7782.98 8.2619200000E-15
      7786.57 8.2824900000E-15
      7790.16 8.3493300000E-15
      7793.76 8.3972300000E-15
      7797.35 8.4924100000E-15
      7800.94 8.5719800000E-15
      7804.54 8.6451400000E-15
      7808.13 8.7444900000E-15
      7811.72 8.7394500000E-15
      7815.32 8.6906300000E-15
      7818.91 8.5533300000E-15
       7822.5 8.4806600000E-15
       7826.1 8.4162800000E-15
      7829.69 8.4292300000E-15
      7833.28 8.4522000000E-15
      7836.88 8.5218400000E-15
      7840.47 8.5997100000E-15
      7844.06 8.6498400000E-15
      7847.66 8.6836800000E-15
      7851.25 8.7462100000E-15
      7854.84 8.7267100000E-15
      7858.44 8.7442900000E-15
      7862.03 8.7927700000E-15
      7865.63 8.7844600000E-15
      7869.22 8.8529200000E-15
      7872.81 8.9093000000E-15
      7876.41 8.9480300000E-15
        7880. 8.9800400000E-15
      7883.59 8.9792000000E-15
      7887.19 8.9870300000E-15
      7890.78 9.0229300000E-15
      7894.37 9.0075200000E-15
      7897.97 9.0011100000E-15
      7901.56 9.0060900000E-15
      7905.15 8.8994400000E-15
      7908.75 8.9632700000E-15
      7912.34 8.9484600000E-15
      7915.93 8.9734800000E-15
      7919.53 9.0843500000E-15
      7923.12 9.1154800000E-15
      7926.71 9.1502100000E-15
      7930.31 9.1687200000E-15
       7933.9 9.1989800000E-15
      7937.49 9.1941900000E-15
      7941.09 9.1625500000E-15
      7944.68 9.2005400000E-15
      7948.27 9.2474500000E-15
      7951.87 9.2732400000E-15
      7955.46 9.3589400000E-15
      7959.05 9.4336100000E-15
      7962.65 9.4326500000E-15
      7966.24 9.4871000000E-15
      7969.83 9.4667900000E-15
      7973.43 9.3819800000E-15
